tipo;cuadricula_distribuidor;LABT;LAMT
CERTIFICACION_PODA;CUADRICULA 01;20,887;3,440
CERTIFICACION_PODA;CUADRICULA 02;20,887;2,294
CERTIFICACION_PODA;CUADRICULA 03;20,887;3,440
CERTIFICACION_PODA;CUADRICULA 04;41,775;4,587
CERTIFICACION_PODA;CUADRICULA 05;41,775;4,587
CERTIFICACION_PODA;CUADRICULA 06;41,775;2,294
CERTIFICACION_PODA;CUADRICULA 07;41,775;3,440
CERTIFICACION_PODA;CUADRICULA 08;57,440;5,734
CERTIFICACION_PODA;CUADRICULA 09;20,887;3,440
CERTIFICACION_PODA;CUADRICULA 10;52,219;2,294
CERTIFICACION_PODA;CUADRICULA 11;31,331;4,587
CERTIFICACION_PODA;CUADRICULA 12;15,666;3,440
CERTIFICACION_PODA;CUADRICULA 13;10,444;9,174
CERTIFICACION_PODA;CUADRICULA 14;10,444;8,028
CERTIFICACION_PODA;CUADRICULA 15;10,444;6,881
CERTIFICACION_PODA;CUADRICULA 16;10,444;6,881
CERTIFICACION_PODA;CUADRICULA 17;10,444;8,028
CERTIFICACION_PODA;CUADRICULA 18;10,444;5,734
CERTIFICACION_PODA;CUADRICULA 19;20,887;10,321
CERTIFICACION_PODA;CUADRICULA 20;5,222;3,440
CERTIFICACION_PODA;CUADRICULA 21;26,109;12,615
CERTIFICACION_PODA;LINEA ANCHA;10,470;3,410
CERTIFICACION_PODA;SALTO DE LAS ROSAS;26,570;8,080
CERTIFICACION_PODA;CUADRO BOMBAL;4,900;37,500
CERTIFICACION_PODA;EL TROPEZON;15,750;16,950
CERTIFICACION_PODA;ESTANCIA LOS AMIGOS;9,030;2,070
CERTIFICACION_PODA;LAS MALVINAS;9,230;14,480
CERTIFICACION_PODA;EL MONTE;7,320;23,240
CERTIFICACION_PODA;COLONIA GELMAN;2,790;3,740
CERTIFICACION_PODA;COLONIA ELENA;8,560;19,620
CERTIFICACION_PODA;EL DIAMANTE;2,060;13,260
CERTIFICACION_PODA;MONTE COMAN;2,010;4,230
CERTIFICACION_PODA;LAS AGUADITAS;3,630;12,550
CERTIFICACION_PODA;GOUDGE;3,870;8,810
CERTIFICACION_PODA;JAIME PRATS;7,720;5,870
CERTIFICACION_PODA;ARIZU;26,820;4,490
CERTIFICACION_PODA;LA GUEVARINA;8,980;7,220
CERTIFICACION_PODA;ATUEL NORTE;22,040;8,210
CERTIFICACION_PODA;COLONIA ANDES;2,360;10,580
CERTIFICACION_PODA;PUNTA DE AGUA;1,940;1,100
CERTIFICACION_PODA;AGUA ESCONDIDA;1,530;0,000
CERTIFICACION_PODA;VILLA BASTIAS;23,980;21,181
CERTIFICACION_PODA;BASTIA MONOFILAR;1,301;1,300
CERTIFICACION_PODA;MALARGÜE;47,730;7,970
CERTIFICACION_PODA;YESERA;15,670;2,780
CERTIFICACION_PODA;LAS LEÑAS;1,921;1,920
CERTIFICACION_PODA;LAS LEÑAS MONOFILAR;0,000;0,000
CERTIFICACION_PODA;LOS MOLLES;0,000;0,000
CERTIFICACION_PODA;BARDAS BLANCAS;0,210;0,760
CERTIFICACION_PODA;RANQUIL DEL NORTE;0,313;0,000
CERTIFICACION_PODA;RANQUIL DEL NORTE MONOFILAR;0,000;0,000
